"","social_date.date","social_date.blog","social_date.twitter","social_date.news","social_date.total"
"1","2016-01-01",934,1334,159,2427
"2","2016-01-02",1101,1592,84,2777
"3","2016-01-03",1177,1526,30,2733
"4","2016-01-04",1632,1657,149,3438
"5","2016-01-05",1408,1928,182,3518
"6","2016-01-06",1411,2484,112,4007
"7","2016-01-07",1367,1918,102,3387
"8","2016-01-08",1243,1618,235,3096
"9","2016-01-09",966,1409,78,2453
"10","2016-01-10",1128,1622,60,2810
"11","2016-01-11",1499,1669,117,3285
"12","2016-01-12",1258,1472,183,2913
"13","2016-01-13",1285,1493,171,2949
"14","2016-01-14",1228,1270,118,2616
"15","2016-01-15",1216,1355,80,2651
"16","2016-01-16",991,1804,65,2860
"17","2016-01-17",1114,1439,37,2590
"18","2016-01-18",1543,1351,64,2958
"19","2016-01-19",1365,1389,140,2894
"20","2016-01-20",1204,1207,92,2503
"21","2016-01-21",1199,1257,108,2564
"22","2016-01-22",1218,1675,84,2977
"23","2016-01-23",965,1798,39,2802
"24","2016-01-24",1046,1843,23,2912
"25","2016-01-25",1397,2127,70,3594
"26","2016-01-26",1326,2013,95,3434
"27","2016-01-27",1234,2093,98,3425
"28","2016-01-28",1135,2122,97,3354
"29","2016-01-29",1247,1968,95,3310
"30","2016-01-30",922,2606,51,3579
"31","2016-01-31",1079,2098,27,3204
"32","2016-02-01",1398,1980,54,3432
"33","2016-02-02",1291,1840,131,3262
"34","2016-02-03",1210,1814,105,3129
"35","2016-02-04",1223,1657,127,3007
"36","2016-02-05",1128,1973,182,3283
"37","2016-02-06",830,2039,78,2947
"38","2016-02-07",755,2058,56,2869
"39","2016-02-08",600,2038,30,2668
"40","2016-02-09",781,2151,66,2998
"41","2016-02-10",1118,2010,72,3200
"42","2016-02-11",1426,2436,139,4001
"43","2016-02-12",1380,2165,246,3791
"44","2016-02-13",1072,2213,86,3371
"45","2016-02-14",1186,2658,69,3913
"46","2016-02-15",1590,2165,157,3912
"47","2016-02-16",1276,2236,157,3669
"48","2016-02-17",1169,2160,144,3473
"49","2016-02-18",1232,2138,71,3441
"50","2016-02-19",1163,2207,115,3485
"51","2016-02-20",935,2177,40,3152
"52","2016-02-21",1009,2279,37,3325
"53","2016-02-22",1396,1807,94,3297
"54","2016-02-23",1311,2036,124,3471
"55","2016-02-24",1195,1926,74,3195
"56","2016-02-25",1278,1856,257,3391
"57","2016-02-26",1184,1955,181,3320
"58","2016-02-27",886,2079,83,3048
"59","2016-02-28",1079,2222,27,3328
"60","2016-02-29",1452,2062,52,3566
"61","2016-03-01",1123,2086,56,3265
"62","2016-03-02",1336,1744,92,3172
"63","2016-03-03",1214,1793,127,3134
"64","2016-03-04",1205,1849,82,3136
"65","2016-03-05",905,2054,58,3017
"66","2016-03-06",1025,2582,99,3706
"67","2016-03-07",1511,1961,126,3598
"68","2016-03-08",1239,1590,68,2897
"69","2016-03-09",1160,1457,61,2678
"70","2016-03-10",1174,1669,103,2946
"71","2016-03-11",1114,1726,113,2953
"72","2016-03-12",882,1952,43,2877
"73","2016-03-13",1085,2025,40,3150
"74","2016-03-14",1543,2053,94,3690
"75","2016-03-15",1344,1649,52,3045
"76","2016-03-16",1147,1807,46,3000
"77","2016-03-17",1058,1814,69,2941
"78","2016-03-18",1158,1908,72,3138
"79","2016-03-19",987,1997,36,3020
"80","2016-03-20",1133,1996,250,3379
"81","2016-03-21",1614,1777,359,3750
"82","2016-03-22",1316,1894,147,3357
"83","2016-03-23",1283,1152,129,2564
"84","2016-03-24",1536,1920,69,3525
"85","2016-03-25",1516,1900,79,3495
"86","2016-03-26",1354,2140,47,3541
"87","2016-03-27",1570,2345,52,3967
"88","2016-03-28",2109,1814,117,4040
"89","2016-03-29",1844,1771,65,3680
"90","2016-03-30",1724,1890,100,3714
"91","2016-03-31",1704,1747,132,3583
"92","2016-04-01",1771,2196,70,4037
"93","2016-04-02",1410,2464,195,4069
"94","2016-04-03",2013,2536,81,4630
"95","2016-04-04",2127,2153,113,4393
"96","2016-04-05",1872,1944,139,3955
"97","2016-04-06",1797,2044,93,3934
"98","2016-04-07",1782,2014,116,3912
"99","2016-04-08",1763,2056,172,3991
"100","2016-04-09",1438,2364,100,3902
"101","2016-04-10",1696,2750,85,4531
"102","2016-04-11",2214,2035,159,4408
"103","2016-04-12",1753,2051,154,3958
"104","2016-04-13",1624,2052,60,3736
"105","2016-04-14",1986,1868,94,3948
"106","2016-04-15",1675,1766,80,3521
"107","2016-04-16",1310,1908,101,3319
"108","2016-04-17",1543,2182,66,3791
"109","2016-04-18",1941,2779,141,4861
"110","2016-04-19",1640,1740,155,3535
"111","2016-04-20",1587,1706,54,3347
"112","2016-04-21",1490,1564,80,3134
"113","2016-04-22",1478,1653,43,3174
"114","2016-04-23",1247,1969,52,3268
"115","2016-04-24",1401,2268,38,3707
"116","2016-04-25",1937,1917,52,3906
"117","2016-04-26",1794,1847,96,3737
"118","2016-04-27",1592,1977,83,3652
"119","2016-04-28",1530,1772,71,3373
"120","2016-04-29",1495,1709,84,3288
"121","2016-04-30",1220,1937,104,3261
"122","2016-05-01",1414,2171,49,3634
"123","2016-05-02",1881,1839,89,3809
"124","2016-05-03",1654,1535,69,3258
"125","2016-05-04",1392,1870,90,3352
"126","2016-05-05",1267,2118,39,3424
"127","2016-05-06",1615,2216,83,3914
"128","2016-05-07",1396,1930,103,3429
"129","2016-05-08",1445,1955,34,3434
"130","2016-05-09",1826,1669,67,3562
"131","2016-05-10",1620,1639,85,3344
"132","2016-05-11",1564,1686,90,3340
"133","2016-05-12",1463,1755,74,3292
"134","2016-05-13",1398,1905,73,3376
"135","2016-05-14",1229,1956,35,3220
"136","2016-05-15",1508,2382,46,3936
"137","2016-05-16",1762,1936,104,3802
"138","2016-05-17",1514,3123,126,4763
"139","2016-05-18",1480,1930,74,3484
"140","2016-05-19",1389,1835,46,3270
"141","2016-05-20",1341,2614,71,4026
"142","2016-05-21",1173,2648,73,3894
"143","2016-05-22",1302,2475,70,3847
"144","2016-05-23",1673,1997,85,3755
"145","2016-05-24",1465,1763,73,3301
"146","2016-05-25",1347,1721,49,3117
"147","2016-05-26",1283,1775,49,3107
"148","2016-05-27",1281,1752,64,3097
"149","2016-05-28",1031,2206,47,3284
"150","2016-05-29",1253,2108,64,3425
"151","2016-05-30",1719,1806,86,3611
"152","2016-05-31",1439,1785,93,3317
"153","2016-06-01",1295,1981,118,3394
"154","2016-06-02",1248,1858,116,3222
"155","2016-06-03",1287,1743,92,3122
"156","2016-06-04",990,2086,27,3103
"157","2016-06-05",1016,2131,36,3183
"158","2016-06-06",1402,2054,82,3538
"159","2016-06-07",1641,2218,73,3932
"160","2016-06-08",1476,1757,63,3296
"161","2016-06-09",1333,1623,64,3020
"162","2016-06-10",1352,1034,96,2482
"163","2016-06-11",1086,1683,33,2802
"164","2016-06-12",1271,2171,24,3466
"165","2016-06-13",1648,1894,51,3593
"166","2016-06-14",1445,1812,129,3386
"167","2016-06-15",1312,1781,70,3163
"168","2016-06-16",1303,1846,89,3238
"169","2016-06-17",1282,1891,74,3247
"170","2016-06-18",1073,1993,71,3137
"171","2016-06-19",1320,2014,31,3365
"172","2016-06-20",1702,1850,57,3609
"173","2016-06-21",1449,1717,102,3268
"174","2016-06-22",1423,1957,49,3429
"175","2016-06-23",1317,1986,66,3369
"176","2016-06-24",1454,1842,71,3367
"177","2016-06-25",1176,2328,54,3558
"178","2016-06-26",1358,2085,37,3480
"179","2016-06-27",1820,1953,66,3839
"180","2016-06-28",1643,1897,71,3611
"181","2016-06-29",1458,1919,80,3457
"182","2016-06-30",1537,2040,102,3679
"183","2016-07-01",1432,2058,72,3562
"184","2016-07-02",1104,2013,76,3193
"185","2016-07-03",1361,2186,29,3576
"186","2016-07-04",1716,2203,51,3970
"187","2016-07-05",1413,2144,89,3646
"188","2016-07-06",1472,1825,288,3585
"189","2016-07-07",1395,2175,87,3657
"190","2016-07-08",1349,1914,45,3308
"191","2016-07-09",1078,2300,67,3445
"192","2016-07-10",1307,2398,36,3741
"193","2016-07-11",1653,1969,46,3668
"194","2016-07-12",1456,2198,76,3730
"195","2016-07-13",1357,1863,102,3322
"196","2016-07-14",1393,2533,87,4013
"197","2016-07-15",1351,2427,109,3887
"198","2016-07-16",1114,2404,65,3583
"199","2016-07-17",1279,2708,24,4011
"200","2016-07-18",1646,2165,37,3848
"201","2016-07-19",1447,2114,100,3661
"202","2016-07-20",1400,1939,37,3376
"203","2016-07-21",1383,2446,68,3897
"204","2016-07-22",1322,2176,59,3557
"205","2016-07-23",1107,2193,34,3334
"206","2016-07-24",1273,2180,36,3489
"207","2016-07-25",1663,2234,43,3940
"208","2016-07-26",1467,2215,85,3767
"209","2016-07-27",1406,2242,90,3738
"210","2016-07-28",1372,2237,67,3676
