"","social_pm.date","social_pm.blog","social_pm.twitter","social_pm.news","social_pm.total"
"1","2016-01-01",134,114,64,312
"2","2016-01-02",195,133,71,399
"3","2016-01-03",396,477,146,1019
"4","2016-01-04",957,685,246,1888
"5","2016-01-05",629,228,94,951
"6","2016-01-06",398,139,85,622
"7","2016-01-07",349,121,52,522
"8","2016-01-08",293,141,47,481
"9","2016-01-09",121,117,21,259
"10","2016-01-10",153,107,25,285
"11","2016-01-11",237,143,52,432
"12","2016-01-12",192,113,68,373
"13","2016-01-13",199,62,33,294
"14","2016-01-14",183,58,46,287
"15","2016-01-15",190,87,100,377
"16","2016-01-16",212,299,100,611
"17","2016-01-17",276,184,79,539
"18","2016-01-18",343,137,82,562
"19","2016-01-19",270,154,79,503
"20","2016-01-20",203,116,53,372
"21","2016-01-21",157,98,27,282
"22","2016-01-22",155,126,30,311
"23","2016-01-23",91,63,15,169
"24","2016-01-24",107,37,18,162
"25","2016-01-25",147,69,66,282
"26","2016-01-26",216,148,133,497
"27","2016-01-27",456,329,206,991
"28","2016-01-28",555,268,121,944
"29","2016-01-29",324,114,69,507
"30","2016-01-30",121,60,29,210
"31","2016-01-31",109,68,39,216
"32","2016-02-01",200,71,43,314
"33","2016-02-02",168,86,49,303
"34","2016-02-03",226,120,65,411
"35","2016-02-04",276,179,113,568
"36","2016-02-05",170,83,46,299
"37","2016-02-06",79,59,25,163
"38","2016-02-07",60,56,14,130
"39","2016-02-08",50,120,59,229
"40","2016-02-09",110,116,62,288
"41","2016-02-10",112,62,34,208
"42","2016-02-11",196,88,55,339
"43","2016-02-12",193,71,26,290
"44","2016-02-13",101,82,11,194
"45","2016-02-14",76,69,17,162
"46","2016-02-15",141,68,49,258
"47","2016-02-16",167,68,51,286
"48","2016-02-17",199,58,96,353
"49","2016-02-18",281,103,104,488
"50","2016-02-19",615,531,170,1316
"51","2016-02-20",194,120,38,352
"52","2016-02-21",149,65,33,247
"53","2016-02-22",285,81,60,426
"54","2016-02-23",292,131,65,488
"55","2016-02-24",239,72,50,361
"56","2016-02-25",200,87,78,365
"57","2016-02-26",219,599,58,876
"58","2016-02-27",228,355,77,660
"59","2016-02-28",249,280,46,575
"60","2016-02-29",277,96,75,448
"61","2016-03-01",168,71,39,278
"62","2016-03-02",284,78,70,432
"63","2016-03-03",320,121,70,511
"64","2016-03-04",323,194,49,566
"65","2016-03-05",166,133,33,332
"66","2016-03-06",580,1072,181,1833
"67","2016-03-07",1354,1017,187,2558
"68","2016-03-08",1085,593,133,1811
"69","2016-03-09",669,213,103,985
"70","2016-03-10",441,126,67,634
"71","2016-03-11",383,169,57,609
"72","2016-03-12",192,118,26,336
"73","2016-03-13",230,113,59,402
"74","2016-03-14",520,239,133,892
"75","2016-03-15",640,228,152,1020
"76","2016-03-16",598,338,138,1074
"77","2016-03-17",573,217,91,881
"78","2016-03-18",601,307,127,1035
"79","2016-03-19",500,439,97,1036
"80","2016-03-20",605,489,80,1174
"81","2016-03-21",1082,427,130,1639
"82","2016-03-22",890,498,129,1517
"83","2016-03-23",932,260,145,1337
"84","2016-03-24",899,339,115,1353
"85","2016-03-25",694,211,86,991
"86","2016-03-26",450,217,71,738
"87","2016-03-27",548,283,71,902
"88","2016-03-28",1004,312,174,1490
"89","2016-03-29",1934,860,148,2942
"90","2016-03-30",2467,1530,222,4219
"91","2016-03-31",2218,926,170,3314
"92","2016-04-01",1499,665,122,2286
"93","2016-04-02",1107,819,108,2034
"94","2016-04-03",1014,465,87,1566
"95","2016-04-04",1572,422,120,2114
"96","2016-04-05",1204,315,96,1615
"97","2016-04-06",967,339,90,1396
"98","2016-04-07",945,260,91,1296
"99","2016-04-08",951,628,109,1688
"100","2016-04-09",2206,3050,134,5390
"101","2016-04-10",4031,3972,164,8167
"102","2016-04-11",5846,1968,174,7988
"103","2016-04-12",2921,844,114,3879
"104","2016-04-13",1621,529,66,2216
"105","2016-04-14",2193,898,137,3228
"106","2016-04-15",1585,501,78,2164
"107","2016-04-16",832,295,21,1148
"108","2016-04-17",784,402,46,1232
"109","2016-04-18",1723,555,126,2404
"110","2016-04-19",1189,412,93,1694
"111","2016-04-20",1088,368,99,1555
"112","2016-04-21",1047,247,72,1366
"113","2016-04-22",1541,1838,143,3522
"114","2016-04-23",3911,10856,186,14953
"115","2016-04-24",5159,8761,231,14151
"116","2016-04-25",7191,4883,246,12320
"117","2016-04-26",4925,3099,218,8242
"118","2016-04-27",3541,1777,133,5451
"119","2016-04-28",2572,1047,98,3717
"120","2016-04-29",2035,802,134,2971
"121","2016-04-30",1193,926,58,2177
"122","2016-05-01",1126,711,80,1917
"123","2016-05-02",1681,713,107,2501
"124","2016-05-03",1659,587,84,2330
"125","2016-05-04",1198,775,93,2066
"126","2016-05-05",655,406,49,1110
"127","2016-05-06",809,450,64,1323
"128","2016-05-07",1374,3158,179,4711
"129","2016-05-08",1151,842,87,2080
"130","2016-05-09",1520,702,146,2368
"131","2016-05-10",1428,700,181,2309
"132","2016-05-11",1434,680,165,2279
"133","2016-05-12",1121,455,133,1709
