"","social_br.date","social_br.blog","social_br.twitter","social_br.news","social_br.total"
"1","2016-01-01",3211,596,36,3843
"2","2016-01-02",4007,1063,35,5105
"3","2016-01-03",4325,1041,8,5374
"4","2016-01-04",6154,796,41,6991
"5","2016-01-05",5844,908,55,6807
"6","2016-01-06",5738,939,69,6746
"7","2016-01-07",5627,1108,60,6795
"8","2016-01-08",5413,911,47,6371
"9","2016-01-09",3932,888,48,4868
"10","2016-01-10",4058,1028,21,5107
"11","2016-01-11",5973,997,61,7031
"12","2016-01-12",5533,897,70,6500
"13","2016-01-13",5596,839,87,6522
"14","2016-01-14",5284,848,95,6227
"15","2016-01-15",5130,924,86,6140
"16","2016-01-16",3753,897,46,4696
"17","2016-01-17",3930,895,16,4841
"18","2016-01-18",5888,805,50,6743
"19","2016-01-19",5663,725,95,6483
"20","2016-01-20",5070,687,75,5832
"21","2016-01-21",5201,1000,78,6279
"22","2016-01-22",5009,1501,83,6593
"23","2016-01-23",3766,1521,41,5328
"24","2016-01-24",3996,1307,13,5316
"25","2016-01-25",5696,1416,48,7160
"26","2016-01-26",5489,1226,78,6793
"27","2016-01-27",5264,1329,72,6665
"28","2016-01-28",5084,1259,161,6504
"29","2016-01-29",4999,1287,51,6337
"30","2016-01-30",3692,999,66,4757
"31","2016-01-31",4078,930,28,5036
"32","2016-02-01",5558,1009,61,6628
"33","2016-02-02",5150,1079,53,6282
"34","2016-02-03",5097,937,68,6102
"35","2016-02-04",4907,910,74,5891
"36","2016-02-05",4599,1021,42,5662
"37","2016-02-06",3273,809,46,4128
"38","2016-02-07",2959,819,23,3801
"39","2016-02-08",2270,803,19,3092
"40","2016-02-09",2693,962,37,3692
"41","2016-02-10",3834,1041,22,4897
"42","2016-02-11",5283,1082,43,6408
"43","2016-02-12",5113,1143,46,6302
"44","2016-02-13",3738,996,41,4775
"45","2016-02-14",3764,1021,8,4793
"46","2016-02-15",5330,995,61,6386
"47","2016-02-16",5115,1020,71,6206
"48","2016-02-17",4918,974,72,5964
"49","2016-02-18",5090,1043,108,6241
"50","2016-02-19",4736,988,55,5779
"51","2016-02-20",3709,967,109,4785
"52","2016-02-21",3762,968,18,4748
"53","2016-02-22",5349,1136,75,6560
"54","2016-02-23",5235,1156,43,6434
"55","2016-02-24",5076,1190,67,6333
"56","2016-02-25",4987,1221,82,6290
"57","2016-02-26",4583,1351,79,6013
"58","2016-02-27",3592,1120,68,4780
"59","2016-02-28",3842,1207,96,5145
"60","2016-02-29",5191,1126,101,6418
"61","2016-03-01",4271,963,29,5263
"62","2016-03-02",5069,890,68,6027
"63","2016-03-03",4986,1073,67,6126
"64","2016-03-04",4714,1146,28,5888
"65","2016-03-05",3467,1250,61,4778
"66","2016-03-06",3731,1039,5,4775
"67","2016-03-07",5441,1245,39,6725
"68","2016-03-08",5143,1139,41,6323
"69","2016-03-09",4889,984,157,6030
"70","2016-03-10",4774,986,69,5829
"71","2016-03-11",4511,887,42,5440
"72","2016-03-12",3380,841,43,4264
"73","2016-03-13",3734,867,13,4614
"74","2016-03-14",5229,931,42,6202
"75","2016-03-15",4916,968,37,5921
"76","2016-03-16",4873,1045,72,5990
"77","2016-03-17",4535,1097,49,5681
"78","2016-03-18",4609,973,39,5621
"79","2016-03-19",3550,940,33,4523
"80","2016-03-20",3881,954,18,4853
"81","2016-03-21",5353,1020,51,6424
"82","2016-03-22",4941,1024,38,6003
"83","2016-03-23",5046,621,56,5723
"84","2016-03-24",6409,1080,60,7549
"85","2016-03-25",6361,1039,38,7438
"86","2016-03-26",5009,989,44,6042
"87","2016-03-27",5381,1136,13,6530
"88","2016-03-28",7418,1194,50,8662
"89","2016-03-29",7070,1151,39,8260
"90","2016-03-30",6835,974,49,7858
"91","2016-03-31",6461,954,41,7456
"92","2016-04-01",6524,962,47,7533
"93","2016-04-02",4737,1122,96,5955
"94","2016-04-03",5344,1123,20,6487
"95","2016-04-04",7062,1210,56,8328
"96","2016-04-05",6600,1161,59,7820
"97","2016-04-06",6451,1108,49,7608
"98","2016-04-07",6444,1265,82,7791
"99","2016-04-08",6196,1020,56,7272
"100","2016-04-09",4684,1011,37,5732
"101","2016-04-10",5317,1020,26,6363
"102","2016-04-11",7174,1102,34,8310
"103","2016-04-12",6501,1091,48,7640
"104","2016-04-13",5929,907,36,6872
"105","2016-04-14",6869,1185,39,8093
"106","2016-04-15",6178,1096,57,7331
"107","2016-04-16",4909,1023,58,5990
"108","2016-04-17",5222,1208,23,6453
"109","2016-04-18",7125,1246,44,8415
"110","2016-04-19",6550,1201,50,7801
"111","2016-04-20",6430,955,58,7443
"112","2016-04-21",6441,1016,46,7503
"113","2016-04-22",6178,1116,44,7338
"114","2016-04-23",4747,1152,33,5932
"115","2016-04-24",5320,1112,23,6455
"116","2016-04-25",6910,1156,31,8097
"117","2016-04-26",6721,1021,42,7784
"118","2016-04-27",6685,939,72,7696
"119","2016-04-28",6477,944,71,7492
"120","2016-04-29",6058,904,55,7017
"121","2016-04-30",4620,897,39,5556
"122","2016-05-01",4994,992,26,6012
"123","2016-05-02",6938,960,69,7967
"124","2016-05-03",6663,999,37,7699
"125","2016-05-04",5991,1096,46,7133
"126","2016-05-05",5220,956,23,6199
"127","2016-05-06",5928,1132,30,7090
"128","2016-05-07",5033,1027,39,6099
"129","2016-05-08",5199,908,37,6144
"130","2016-05-09",7127,991,50,8168
"131","2016-05-10",6689,1044,43,7776
"132","2016-05-11",6658,1132,66,7856
"133","2016-05-12",6314,1204,61,7579
"134","2016-05-13",5895,1039,44,6978
"135","2016-05-14",4399,954,45,5398
"136","2016-05-15",4963,934,15,5912
"137","2016-05-16",6522,1048,34,7604
"138","2016-05-17",6158,1002,35,7195
"139","2016-05-18",6069,873,58,7000
"140","2016-05-19",5891,954,67,6912
"141","2016-05-20",5557,1083,40,6680
"142","2016-05-21",4051,1003,33,5087
"143","2016-05-22",4485,921,23,5429
"144","2016-05-23",6311,1074,43,7428
"145","2016-05-24",6295,895,48,7238
"146","2016-05-25",6152,1019,43,7214
"147","2016-05-26",5714,946,43,6703
"148","2016-05-27",5694,953,48,6695
"149","2016-05-28",4143,965,22,5130
"150","2016-05-29",4426,909,20,5355
"151","2016-05-30",6353,1186,57,7596
"152","2016-05-31",6100,1314,30,7444
"153","2016-06-01",5698,1387,42,7127
"154","2016-06-02",5564,1353,50,6967
"155","2016-06-03",5600,1313,31,6944
"156","2016-06-04",4109,1156,22,5287
"157","2016-06-05",4120,1028,8,5156
