,Store,Address,지역구,,,,,,,,,,Service
0,GS25CBS점,서울,양천구,목동서로159-1,(목1동,"917-1,",CBS방송국1층),,,,,,택배보조배터리대여
1,GS25DDMC점,서울,마포구,"매봉산로75,",1층,107호,(상암동,1610),,,,,CAFE25택배
2,GS25DDP점,서울,중구,을지로281,(을지로7가,2-1),,,,,,,택배보조배터리대여TAX REFUND
3,GS25DMC가재울점,서울,서대문구,남가좌동124-1번지,DMC파크뷰자이,203동,101호,,,,,,의약품택배현금 출금
4,GS25G고덕점,서울,강동구,고덕로39,(암사3동,441-14),,,,,,,CAFE25의약품보조배터리대여현금 출금
5,GS25G국회대로점,서울,영등포구,국회대로746,(여의도동,17-2),,,,,,,CAFE25택배
6,GS25G서초연일점,서울,서초구,남부순환로2451,(서초1동,"1426-13,",연일주유소),,,,,,CAFE25의약품택배현금 출금
7,GS25G신사남서울점,서울,서초구,나루터로83,(잠원동,"13-6,",남서울주유소),,,,,,CAFE25베이커리치킨25의약품택배현금 출금undefinedundefined
8,GS25G여의도점,서울,영등포구,"은행로64,",GS칼텍스內편의점(여의도동,10-1),,,,,,,CAFE25의약품택배보조배터리대여현금 출금undefinedundefined
9,GS25KD사옥점,서울,성동구,왕십리로125,(성수동1가,656-292),,,,,,,의약품택배
10,GS25LG광화문점,서울,종로구,"새문안로58,",지하2층,(신문로2가,"92,",LG광화문빌딩),,,,,CAFE25택배
11,GS25LG사이언스파크점,서울,강서구,"마곡중앙10로10,",지하1층,(마곡동,"770,",엘지사이언스파크),,,,,현금 출금undefined
12,GS25LG유플러스용산점,서울,용산구,"한강대로32,",지하1층,(한강로3가,"65-228,",엘지유플러스),,,,,택배
13,GS25LIG합정점,서울,마포구,"양화로19,",101호,(합정동,"471,",지하1층),,,,,CAFE25택배보조배터리대여현금 출금
14,GS25R강동4점,서울,강동구,"구천면로200,",강동지사,4층,(천호동,"419-3,",한국마사회),,,,
15,GS25R강북4점,서울,강북구,"도봉로302,",4층,(번동,"449-6,",한국마사회강북지점),,,,,
16,GS25R강북6점,서울,강북구,"도봉로302,",6층,(번동,"449-6,",한국마사회강북지점),,,,,
17,GS25R도봉4점,서울,도봉구,"노해로67길14,",4층,(창동,"8,",한국마사회),,,,,
18,GS25R도봉8점,서울,도봉구,"노해로67길14,",8층,일부,(창동,"8,",한국마사회창동지점),,,,
19,GS25R서울강남4점,서울,강남구,"도산대로529,",4층,(청담동,"125-17,",KRA프라자),,,,,
20,GS25R영등포8점,서울,영등포구,"영중로8길14,",8층,(영등포동3가,"18,",마사회),,,,,
21,GS25R종로2점,서울,종로구,"난계로29길49,",2층,(숭인동,"201-18,",한국마사회,종로지사),,,,
22,GS25S6고려대역점,서울,성북구,종암로지하,"1,",6호선,고려대역,지하철역사,(종암동,29-18),,,CAFE25
23,GS25S6공덕역점,서울,마포구,백범로지하,"200,",지하1층,(공덕동,"439,",공덕역),,,,CAFE25
24,GS25S6광흥창역점,서울,마포구,독막로지하,"165,",6호,호선,광흥창역,(창전동,145-17),,,
25,GS25S6구산역점,서울,은평구,연서로지하,"137-1,",6호선,구산역,지하1층,1001호,(구산동),,,CAFE25
26,GS25S6녹사평역점,서울,용산구,녹사평대로지하,"195,",지하,(용산동4가,4),,,,,CAFE25
27,GS25S6대흥역점,서울,마포구,대흥로지하,"85,",6호,호선,대흥역,(대흥동,128-1),,,CAFE25
28,GS25S6독바위역점,서울,은평구,불광로지하,"129-1,",지하1층,1001호,(불광동,13-33),,,,CAFE25
29,GS25S6돌곶이역점,서울,성북구,화랑로지하,"243,",지하철,역사,(석관동,"349-8,",6호선),,,CAFE25
30,GS25S6동묘앞역점,서울,종로구,지봉로지하,24,(숭인동,316-3),,,,,,CAFE25
31,GS25S6마포구청역점,서울,마포구,월드컵로지하,190,(성산동,"592,",마포구청역),,,,,CAFE25
32,GS25S6망원역점,서울,마포구,월드컵로지하,"77,",6호,호선,망원역,(망원동,378),,,
33,GS25S6보문역점,서울,성북구,보문로지하,116,(보문동1가,"127-1,",6호선,보문역역사),,,,CAFE25
34,GS25S6봉화산역점,서울,중랑구,신내동643-3번지,",",6호선,지하철,역사,내,,,,CAFE25
35,GS25S6불광역점,서울,은평구,통일로지하,"723-1,",6호선,불광역,지하2층,2002호,(대조동,14-1),,CAFE25
36,GS25S6삼각지역점,서울,용산구,한강대로지하,"185,",지하3층,(한강로1가,"228-1,",6호선,삼각지역),,,CAFE25
37,GS25S6상수역점,서울,마포구,독막로지하,"85,",6호,호선,상수역,(상수동,309-10),,,CAFE25
38,GS25S6상암DMC역2점,서울,은평구,증산동223-27번지,6호선,DMC역,지하1층,,,,,,CAFE25
39,GS25S6상월곡역점,서울,성북구,화랑로지하,"157,",지하철,6호선,상월곡역,역사,내,(상월곡동,26-1),
40,GS25S6새절역점,서울,은평구,증산로지하,"400,",지하1층,1001호,(신사동,"337-5,",6호선,새절역사무소),,
41,GS25S6석계역점,서울,노원구,월계동25-4,지하철,역사,내,,,,,,CAFE25
42,GS25S6신당역점,서울,중구,다산로지하,"260,",지하,(흥인동,"162-1,",신동역,6호선),,,CAFE25
43,GS25S6안암역점,서울,성북구,인촌로지하,"89,",6호선,지하철,역사,내,(안암동5가,146-1),,CAFE25
44,GS25S6약수역점,서울,중구,다산로지하,"115,",지하층,(신당동,"369-2,",약수역,6호선),,,CAFE25
45,GS25S6역촌역점,서울,은평구,서오릉로지하,"63,",6호선,역촌역,지하1층,1001호,(녹번동,144-69),,CAFE25
46,GS25S6연신내역점,서울,은평구,통일로지하,"849,",6호선,연신내역,지하1층,1001호,(갈현동),,,CAFE25
47,GS25S6월곡역점,서울,성북구,월곡로지하,"107,",6호선,월곡역,역사,(하월곡동,35-1),,,CAFE25
48,GS25S6월드컵경기장역점,서울,마포구,성산동지하240,,,,,,,,,
49,GS25S6응암역점,서울,은평구,증산로지하,"477,",지하2층,2001호(6호선,응암역),(역촌동,85-41),,,CAFE25
50,GS25S6이태원역점,서울,용산구,이태원로지하,"177,",이태원역,B1,1001호,(이태원동,119-23),,,CAFE25
51,GS25S6증산역점,서울,은평구,증산로지하,"306,",6호선,증산역,지하1층,1001호,(증산동,199-8),,CAFE25
52,GS25S6창신역점,서울,종로구,지봉로지하,112,(창신동,20-8),,,,,,CAFE25
53,GS25S6한강진역점,서울,용산구,이태원로지하,"287,",지하1층,(한남동,"726-494,",6호선,한강진역),,,CAFE25
54,GS25S6합정역점,서울,마포구,양화로지하,"45,",6호선,지하1층,편의점,(합정동),,,,CAFE25
55,GS25S6화랑대역점,서울,노원구,화랑로지하,"510,",지하철,역사,내,(공릉동,285-2),,,CAFE25
56,GS25S6효창공원앞역점,서울,용산구,백범로지하,"287,",6호선,효창공원앞역,지하1층,(효창동),,,,
57,GS25S8가락시장역점,서울,송파구,송파대로지하,"257,",8호선,지하철,역사,(가락동,184-23),,,CAFE25
58,GS25S8강동구청역점,서울,강동구,올림픽로지하,"550,",8호선,지하철,역사,내,(성내동),,,CAFE25
59,GS25S8몽촌토성역점,서울,송파구,올림픽로지하,"383,",신천동,8호선,지하철,역사,(신천동,19),,
60,GS25S8문정역점,서울,송파구,장지동56번지,8호선,지하철,역사,내부,,,,,CAFE25
61,GS25S8복정역점,서울,송파구,장지동600,8호선지하철역사,내,,,,,,,CAFE25
62,GS25S8석촌역점,서울,송파구,송파대로지하,"439,",8호선,지하철,역사,(석촌동,209),,,CAFE25
63,GS25S8송파역점,서울,송파구,송파대로지하,"354,",(8호선,지하철,역사내),(가락동,459-4),,,CAFE25
64,GS25S8암사역점,서울,강동구,올림픽로지하,"776,",지하철,8호선,암사역,역사,내,(암사동,501),CAFE25
65,GS25S8장지역점,서울,송파구,송파대로지하,82,(장지동,201-5),,,,,,CAFE25
66,GS25S9둔촌오륜역점,서울,강동구,"강동대로305,",지하철,9호선,둔촌오륜역,B1,(둔촌동,180-2),,,
67,GS25S9봉은사역점,서울,강남구,봉은사로지하,"601,",",",9호선봉은사역,내,(삼성동,111-8),,,CAFE25
68,GS25S9삼성중앙역점,서울,강남구,봉은사로지하,501,(삼성동,111-147),,,,,,CAFE25
69,GS25S9삼전역점,서울,송파구,백제고분로187,(잠실동,"250-5,",파크인-수),,,,,,CAFE25
70,GS25S9석촌고분역점,서울,송파구,삼전동157번지,,,,,,,,,
71,GS25S9석촌역점,서울,송파구,송파대로지하,"439,",지하철,9호선,석촌역,(석촌동,209),,,CAFE25
72,GS25S9송파나루역점,서울,송파구,"송파동3,",지하철,9호선,송파나루역,,,,,,
73,GS25S9언주역점,서울,강남구,봉은사로지하,"201,",지하,1층,926-1호,(논현동,"279-165,",9호선,언주역),
74,GS25S9올림픽공원역점,서울,송파구,방이동88-26,지하철9호선,올림픽공원역,B1층,,,,,,
75,GS25S9종합운동장역점,서울,송파구,올림픽로지하,"23,",9호선,종합운동장역,역사,(잠실동,122),,,
76,GS25S9중앙보훈병원역점,서울,강동구,"명일로117,",지하철9호선,중앙보훈병원역,지하1층,(둔촌동,545),,,,
77,GS25S9한성백제역점,서울,송파구,"위례성대로51,",지하철9호선,한성백제역,지하1층,(방이동,88-21),,,,
78,GS25S가산디지털단지역점,서울,금천구,가산동462-2번지,가산디지털단지역,,,,,,,,CAFE25보조배터리대여
79,GS25S강남구청역점,서울,강남구,삼성동1,7호선강남구청역내,,,,,,,,보조배터리대여
80,GS25S강남역1호점,서울,강남구,"강남대로390,",지하1층,9호,(역삼동,"825,",미진프라자),,,,보조배터리대여
81,GS25S강남역2호점,서울,강남구,"강남대로390,",B3층,38호,(역삼동,825),,,,,
82,GS25S강남역3호점,서울,강남구,"강남대로390,",지하3층,(역삼동,"825,",신분당선),,,,,
83,GS25S건대입구역점,서울,광진구,화양동6-3,"B3,X22-23",,,,,,,,CAFE25보조배터리대여
84,GS25S고속터미널역점,서울,서초구,반포동19-3,7호선고속버스터미널,,,,,,,,
85,GS25S공릉역점,서울,노원구,동일로지하,"1074,",내,(공릉동,"385-4,",7호선공릉역),,,,
86,GS25S군자역점,서울,광진구,"능동로277,",지하1층,(군자동,"1-9,",군자역내),,,,,CAFE25보조배터리대여현금 출금
87,GS25S남구로역점,서울,구로구,구로동800,7호서남구로역지하2층,,,,,,,,
88,GS25S남성역점,서울,동작구,"사당로14가길19,","사당동,",7호선,남성역,내,(사당동,250-1),,,
89,GS25S내방역점,서울,서초구,서초대로지하,103,(방배동,"874-16,",7호선내방역내),,,,,CAFE25보조배터리대여
90,GS25S노원역점,서울,노원구,상계동2-1번지,,,,,,,,,CAFE25
91,GS25S논현역점,서울,강남구,논현동280번지,,,,,,,,,CAFE25보조배터리대여
92,GS25S대림역점,서울,영등포구,도림로지하,"137,",7호,호선,대림역,(대림동,1050-17),,,CAFE25
93,GS25S뚝섬유원지역점,서울,광진구,능동로10,(자양동,"73-2,",7호선,뚝섬유원지역내),,,,,
94,GS25S마들역점,서울,노원구,"한글비석로530,",(7호선마들역내),(상계9동,"647,",상계주공12단지아파트),,,,,CAFE25보조배터리대여
95,GS25S매봉역점,서울,강남구,도곡동461-1번지,매봉역내,333-03호,,,,,,,
96,GS25S매헌역점,서울,서초구,매헌로지하,"116,",지하층,매장,2호,(양재동,233-2),,,보조배터리대여
97,GS25S먹골역점,서울,중랑구,묵동175-4번지,지하철7호선,먹골역,내,,,,,,보조배터리대여
98,GS25S메트로금호점,서울,성동구,동호로지하,"104,",324-09호,(금호동4가),,,,,,CAFE25
99,GS25S면목역점,서울,중랑구,면목본동120번지,,,,,,,,,
100,GS25S반포역점,서울,서초구,잠원동130번지,,,,,,,,,보조배터리대여
101,GS25S보라매역점,서울,영등포구,신풍로113(신길6동,508),,,,,,,,CAFE25보조배터리대여
102,GS25S사가정역점,서울,중랑구,사가정로지하,"393,",지하철,7호선,사가정역,(면목동,495),,,CAFE25
103,GS25S상도역점,서울,동작구,상도1동752-2번지,7호선상도역내,,,,,,,,CAFE25베이커리보조배터리대여
104,GS25S상봉역점,서울,중랑구,상봉동115,7호선상봉역점,,,,,,,,CAFE25
105,GS25S수락산역점,서울,노원구,동일로지하,"1662,",수락산역,(상계동,1132-9),,,,,CAFE25
106,GS25S숭실대입구역점,서울,동작구,상도1동515번지,7호선숭실대입구역,내,,,,,,,CAFE25보조배터리대여
107,GS25S신대방삼거리역점,서울,동작구,대방동393,7호선역사내,,,,,,,,CAFE25보조배터리대여
108,GS25S신사역점,서울,강남구,강남대로616,(신사동,"501,",지하철3호선신사역내327-03호),,,,,,보조배터리대여TAX REFUND
109,GS25S신풍역점,서울,영등포구,신풍로지하,27,(신길6동,3599),,,,,,CAFE25
110,GS25S양재역1호점,서울,서초구,양재동12-1,신분당선양재역내,B1-27,,,,,,,보조배터리대여
111,GS25S양재역2호점,서울,서초구,남부순환로지하,"2585,",B3-41호,(서초2동,"1366-9,",신분당선양재역내),,,,보조배터리대여
112,GS25S어린이대공원역점,서울,광진구,화양동3번지,,,,,,,,,CAFE25보조배터리대여
113,GS25S온수역점,서울,구로구,온수동73,7호선온수역내,,,,,,,,보조배터리대여
114,GS25S용마산역점,서울,중랑구,면목동산76-1,용마산역사내B1층,,,,,,,,CAFE25현금 출금
115,GS25S이수역점,서울,동작구,사당로지하,"310,",7호선內(사당2동,144-4),,,,,,CAFE25보조배터리대여
116,GS25S장승배기역점,서울,동작구,상도로지하,"188,",장승배기,역사,내,(상도동,26-20),,,
117,GS25S종합운동장역점,서울,송파구,잠실동,1-236종합운동장역B1층218-04호,,,,,,,,보조배터리대여
118,GS25S중계역점,서울,노원구,중계동512,7호선역사,,,,,,,,
119,GS25S중곡역점,서울,광진구,"능동로415-1,",7호,호선중곡역내,(중곡3동,167-1),,,,,보조배터리대여
120,GS25S중화역점,서울,중랑구,동일로지하,797,(중화1동,50-3),,,,,,
121,GS25S천왕역점,서울,구로구,오리로지하,1154,(오류동,"174-5,",7호선,청왕역내),,,,보조배터리대여
122,GS25S청계산역점,서울,서초구,원지동270-16번지,매장2호,,,,,,,,CAFE25
123,GS25S청담역2점,서울,강남구,"학동로87길7,",E-2(7호선청담역지하3층),(청담동,"75-1,",현대아파트),,,,,CAFE25보조배터리대여
124,GS25S청담역점,서울,강남구,"학동로87길7,",(7호선청담역),(청담동,"75-1,",현대아파트),,,,,CAFE25보조배터리대여
125,GS25S태릉입구역점,서울,노원구,공릉1동680번지,,,,,,,,,CAFE25
126,GS25S하계역점,서울,노원구,공릉로59길28,(하계1동,"280,",미성아파트),,,,,,
127,GS25S학동역점,서울,강남구,학동로지하,"180,",지하층,(논현동,"279-67,",학동역,지하상가),,,보조배터리대여
128,GS25가든파이브점,서울,송파구,충민로66(문정2동,"634,",가든파이브라이프패션관B1-1028호),,,,,,,택배보조배터리대여현금 출금
129,GS25가락금호점,서울,송파구,송파대로32길15,(가락본동,"95-1,",가락금호아파트),,,,,,CAFE25의약품보조배터리대여
130,GS25가락명성점,서울,송파구,"송이로23길18,",1층,(가락2동,144-20),,,,,,CAFE25의약품택배
131,GS25가락몰점,서울,송파구,"양재대로932,",1층,1호,(가락동,"600,",업무동),,,,CAFE25의약품택배undefined
132,GS25가락본점,서울,송파구,"오금로36길69-14,",1층,(가락동,49-10),,,,,,CAFE25치킨25의약품택배
133,GS25가락센타점,서울,송파구,오금로44가길9,(가락동,170),,,,,,,로또판매CAFE25치킨25의약품택배보조배터리대여현금 출금
134,GS25가락스타점,서울,송파구,"송파대로30길16,",110호(가락본동,"98,",두산위브센티움),,,,,,CAFE25의약품현금 출금
135,GS25가락우정점,서울,송파구,"중대로23길20,",104호(가락본동,"8-1,",우정에쉐르),,,,,,CAFE25의약품택배보조배터리대여현금 출금
136,GS25가락으뜸점,서울,송파구,"오금로36길46,",1층,(가락본동,"41,",덕봉빌딩),,,,,CAFE25의약품택배현금 입/출금현금 출금undefined
137,GS25가락제일점,서울,송파구,동남로13길50,(가락2동,123-17),,,,,,,CAFE25의약품택배보조배터리대여현금 출금
138,GS25가락중대로점,서울,송파구,송이로24길15,(가락동,116-8),,,,,,,CAFE25치킨25의약품택배
139,GS25가락중앙점,서울,송파구,"송파대로30길3,",1층(가락본동,96-18),,,,,,,스포츠 토토CAFE25의약품택배보조배터리대여현금 출금
140,GS25가락진흥점,서울,송파구,"양재대로66길44,",1층,(가락본동,"35-10,",진흥빌딩),,,,,의약품택배보조배터리대여현금 출금
141,GS25가락타운점,서울,송파구,"양재대로62길47,",101호(가락본동,76-9),,,,,,,CAFE25의약품택배보조배터리대여현금 출금
142,GS25가리봉사랑점,서울,구로구,"구로동로7길57,",1층,(가리봉동,13-37),,,,,,치킨25의약품택배현금 출금
143,GS25가리봉역점,서울,금천구,"벚꽃로286,",1층,107호(가산동,"60-15,",리더스타워),,,,,CAFE25의약품택배현금 출금undefined
144,GS25가산V1점,서울,금천구,"가산디지털1로171,",114호,(가산동,"371-41,",가산에스케이브이원센터),,,,,CAFE25택배
145,GS25가산두산점,서울,금천구,가산로3길113(독산1동,335-14),,,,,,,,CAFE25택배보조배터리대여undefined
146,GS25가산디폴리스점,서울,금천구,"서부샛길606,",107호,(가산동,"543-1,",대성디폴리스지식산업센터),,,,,CAFE25보조배터리대여
147,GS25가산미소점,서울,금천구,"서부샛길528,",1층,103호,(가산동,"550-17,",미소지움),,,,CAFE25의약품택배
148,GS25가산백상점,서울,금천구,"디지털로9길65,",102호(가산동,"60-17,",드림타워9차),,,,,,CAFE25택배
149,GS25가산본점,서울,금천구,남부순환로112길15,(가산동,147-25),,,,,,,CAFE25치킨25의약품택배현금 출금
150,GS25가산세진점,서울,금천구,"벚꽃로278,",B138호(가산동,"60-19,",세진테크노빌),,,,,,CAFE25택배현금 출금undefined
151,GS25가산스타점,서울,금천구,"디지털로9길99,",126호(가산동,"60-11,",스타밸리),,,,,,CAFE25의약품택배현금 입/출금현금 출금undefined
152,GS25가산엘지점,서울,금천구,가산디지털1로51(가산동,327-23),,,,,,,,
153,GS25가산용주점,서울,금천구,"벚꽃로24길14,",101호(가산동,238-84),,,,,,,CAFE25치킨25의약품택배
154,GS25가산태양점,서울,금천구,"시흥대로153길89,",1층,(가산동,149-27),,,,,,치킨25의약품택배보조배터리대여현금 출금undefined
155,GS25가산프리미어점,서울,금천구,"가산디지털1로88,",1층,",",103호,(가산동,"345-50,",IT프리미어타워),,,택배현금 입/출금현금 출금
156,GS25가산하이엔드점,서울,금천구,"가산디지털1로233,",107호,(가산동,"481-2,",에이스하이엔드타워9차),,,,,CAFE25택배
157,GS25가산하이힐점,서울,금천구,디지털로12길21(가산동,143-44),,,,,,,,CAFE25의약품택배undefined
158,GS25가양2점,서울,강서구,"허준로47,",상가(가양1동,"1461,",가양도시개발공사아파트),,,,,,로또판매CAFE25베이커리치킨25의약품택배
