"","social_health.date","social_health.blog","social_health.twitter","social_health.news","social_health.total"
"1","2016-01-01",3606,5325,455,9386
"2","2016-01-02",2825,3318,195,6338
"3","2016-01-03",2581,3014,350,5945
"4","2016-01-04",5422,3381,945,9748
"5","2016-01-05",5257,3675,679,9611
"6","2016-01-06",5038,3668,855,9561
"7","2016-01-07",5244,3598,765,9607
"8","2016-01-08",4881,3524,648,9053
"9","2016-01-09",2619,2669,211,5499
"10","2016-01-10",2393,3412,370,6175
"11","2016-01-11",5111,3374,922,9407
"12","2016-01-12",5046,2999,860,8905
"13","2016-01-13",4907,3096,766,8769
"14","2016-01-14",5033,2729,747,8509
"15","2016-01-15",4445,3095,688,8228
"16","2016-01-16",2422,3224,218,5864
"17","2016-01-17",2293,2544,260,5097
"18","2016-01-18",5287,2745,903,8935
"19","2016-01-19",5527,3405,812,9744
"20","2016-01-20",5427,2751,894,9072
"21","2016-01-21",5279,3013,781,9073
"22","2016-01-22",5078,3506,681,9265
"23","2016-01-23",2954,3609,282,6845
"24","2016-01-24",2729,3764,370,6863
"25","2016-01-25",5534,4550,796,10880
"26","2016-01-26",5077,4291,736,10104
"27","2016-01-27",4856,4423,898,10177
"28","2016-01-28",4595,4319,809,9723
"29","2016-01-29",4522,4657,617,9796
"30","2016-01-30",2530,3527,219,6276
"31","2016-01-31",2345,3434,327,6106
"32","2016-02-01",4625,4209,840,9674
"33","2016-02-02",4641,3849,842,9332
"34","2016-02-03",4649,3755,822,9226
"35","2016-02-04",4577,3559,859,8995
"36","2016-02-05",4262,4113,543,8918
"37","2016-02-06",2273,3347,218,5838
"38","2016-02-07",1794,3636,196,5626
"39","2016-02-08",1727,4326,165,6218
"40","2016-02-09",1966,3256,262,5484
"41","2016-02-10",2547,4425,318,7290
"42","2016-02-11",4418,3863,629,8910
"43","2016-02-12",4250,3958,565,8773
"44","2016-02-13",2528,3534,173,6235
"45","2016-02-14",2515,3466,317,6298
"46","2016-02-15",4781,4529,714,10024
"47","2016-02-16",4651,4881,827,10359
"48","2016-02-17",4586,4084,696,9366
"49","2016-02-18",4515,4793,733,10041
"50","2016-02-19",4348,4290,612,9250
"51","2016-02-20",2232,3662,175,6069
"52","2016-02-21",2251,3778,299,6328
"53","2016-02-22",5055,4177,934,10166
"54","2016-02-23",4789,4352,811,9952
"55","2016-02-24",4649,3817,930,9396
"56","2016-02-25",4626,3523,943,9092
"57","2016-02-26",4029,3833,603,8465
"58","2016-02-27",2274,3498,190,5962
"59","2016-02-28",2186,3567,340,6093
"60","2016-02-29",4346,3727,685,8758
"61","2016-03-01",2557,3388,336,6281
"62","2016-03-02",4251,3795,850,8896
"63","2016-03-03",4260,3561,714,8535
"64","2016-03-04",4174,3711,545,8430
"65","2016-03-05",2377,3383,175,5935
"66","2016-03-06",2320,3542,352,6214
"67","2016-03-07",4588,4091,741,9420
"68","2016-03-08",4599,3767,761,9127
"69","2016-03-09",4623,3686,777,9086
"70","2016-03-10",4489,3673,647,8809
"71","2016-03-11",4181,3455,475,8111
"72","2016-03-12",2326,3188,128,5642
"73","2016-03-13",2022,3192,233,5447
"74","2016-03-14",4294,3657,684,8635
"75","2016-03-15",4300,3692,727,8719
"76","2016-03-16",4290,4116,698,9104
"77","2016-03-17",4131,4118,699,8948
"78","2016-03-18",4042,3374,577,7993
"79","2016-03-19",2225,2875,199,5299
"80","2016-03-20",2178,2997,320,5495
"81","2016-03-21",4516,3496,716,8728
"82","2016-03-22",4259,4226,691,9176
"83","2016-03-23",4594,2784,695,8073
"84","2016-03-24",5181,3876,663,9720
"85","2016-03-25",4961,3613,551,9125
"86","2016-03-26",2761,3259,175,6195
"87","2016-03-27",2511,3473,356,6340
"88","2016-03-28",5224,4266,788,10278
"89","2016-03-29",5384,4077,794,10255
