date.gs,reg_02.gs,마스크,스타킹,스테디셀러,일회용품,"계절성(여름,겨울)",00~19,20~39,40~59,60~99,F,M,temp_max,wind_max,temp_min,temp_avg,wa_avg,rain_sum,temp_range,rain
2016-01-01,1분위수,77,77,8677,288,5071,357,9203,4293,337,8250,5940,4.8,2.6,-2.6,1.8,0.9,0,7.3,N
2016-01-01,2분위수,49,112,14208,441,7825,497,15798,5885,462,13243,9399,4.8,2.8,-2.6,1.8,1,0,7.4,N
2016-01-01,3분위수,63,91,14477,420,7612,659,15310,6204,490,13760,8903,4.8,2.2,-3.7,1.2,0.8,0,8.6,N
2016-01-01,4분위수,77,358,29897,1187,17981,945,36204,11067,1284,29628,19872,5.3,2.8,-1.6,2.4,1.2,0,6.8,N
2016-01-02,1분위수,35,105,8617,267,4936,525,9456,3692,287,7622,6338,9.7,3.4,2.3,6.3,1.3,0,7.4,N
2016-01-02,2분위수,14,147,13066,499,7129,784,14865,4764,456,13093,7776,10.1,2.9,2.3,6.3,1.2,0,7.8,N
2016-01-02,3분위수,0,126,11810,371,6508,455,13300,4675,392,11644,7178,9.9,2.8,2,6,1.1,0,7.8,N
2016-01-02,4분위수,105,442,27167,1011,15433,938,31892,10107,1221,26083,18075,10.6,3.3,3.5,7.1,1.6,0,7.1,N
2016-01-03,1분위수,56,112,7528,266,4594,546,8535,3286,189,6988,5568,9.4,3,4.6,6.7,1,0,4.8,N
2016-01-03,2분위수,105,210,11795,449,6786,525,14352,4006,462,11607,7738,9.6,2.6,4.4,6.6,0.9,0,5.3,N
2016-01-03,3분위수,56,217,11163,294,6083,588,12612,4263,350,10606,7207,9.2,2.4,3.3,5.8,0.8,0,5.9,N
2016-01-03,4분위수,112,378,27253,743,17134,882,33238,10875,632,27014,18613,9.9,2.6,5.5,7.2,1,0,4.4,N
2016-01-04,1분위수,49,98,7314,337,4381,336,8124,3544,175,7392,4787,6.2,4.6,-1.6,2.8,2.3,0,7.8,N
2016-01-04,2분위수,70,225,10080,464,5381,700,11719,3591,217,10234,5993,6.1,4,-1.7,2.8,2.1,0,7.8,N
2016-01-04,3분위수,91,154,10090,336,5118,714,11003,3643,429,9641,6148,8.4,4.1,-3.7,2.5,1.9,0,12,N
2016-01-04,4분위수,231,519,25172,1104,12617,947,29133,8511,1052,23122,16521,6.5,3.8,-1.3,3,2.1,0,7.9,N
2016-01-05,1분위수,21,56,8009,252,3534,434,8058,3205,175,6727,5145,1.6,4.1,-3.6,-1.6,1.8,0,5.2,N
2016-01-05,2분위수,63,140,11728,526,5289,667,12591,4201,287,11178,6568,1.5,3.8,-3.8,-1.9,1.8,0,5.3,N
2016-01-05,3분위수,42,203,10782,336,4549,532,11132,3897,351,10276,5636,1.5,3.5,-4.6,-2.1,1.4,0,6.1,N
2016-01-05,4분위수,154,443,25449,907,12665,960,28414,9368,876,22805,16813,1.7,3.3,-3.4,-1.5,1.7,0,5.1,N
2016-01-06,1분위수,14,119,9350,203,3443,533,9106,3238,252,6946,6183,2.3,3.4,-3.8,-0.8,1.3,0,6,N
2016-01-06,2분위수,49,105,12018,534,5285,695,12112,4876,308,10866,7125,2.6,3.2,-3.9,-0.8,1.3,0,6.4,N
2016-01-06,3분위수,35,175,11393,273,4831,476,12187,3658,386,10316,6391,2.3,3,-5.1,-1.3,1.1,0,7.4,N
2016-01-06,4분위수,175,421,29964,998,13509,910,31949,11198,1010,26264,18803,2.6,3.2,-3,-0.4,1.5,0,5.6,N
2016-01-07,1분위수,7,63,9135,358,3624,413,9021,3445,308,7382,5805,1.6,4.3,-4.7,-2.2,1.9,0,6.4,N
2016-01-07,2분위수,21,140,12310,492,5537,568,13079,4629,224,11935,6565,1.7,3.6,-5.3,-2.3,1.8,0,7,N
2016-01-07,3분위수,21,147,10725,378,4963,504,11756,3722,252,10225,6009,1.5,3.4,-5.9,-2.8,1.5,0,7.4,N
2016-01-07,4분위수,112,498,30373,1082,13290,966,32844,10330,1215,27264,18091,1.8,3.4,-4.4,-2.1,1.8,0,6.2,N
2016-01-08,1분위수,14,168,10477,309,4365,455,10517,4137,238,8718,6629,1.6,4.2,-6,-2.2,1.5,0,7.6,N
2016-01-08,2분위수,35,175,14670,555,6359,729,16094,4656,315,13868,7926,1.7,3.9,-6.4,-2.2,1.6,0,8,N
2016-01-08,3분위수,70,147,13305,378,6194,441,14248,5055,350,12760,7334,1.6,3.8,-7.6,-3,1.3,0,9.2,N
2016-01-08,4분위수,98,653,33052,1335,16788,1163,36637,13080,1046,30683,21243,2,3.8,-5.5,-1.8,1.7,0,7.4,N
2016-01-09,1분위수,42,63,9562,308,5000,378,10239,4225,133,8011,6964,2.4,4.4,-4.9,-1.1,1.5,0,7.3,N
2016-01-09,2분위수,42,295,15433,527,7638,785,17461,5416,273,14665,9270,2.5,3.8,-5.1,-1.1,1.5,0,7.6,N
2016-01-09,3분위수,21,303,13800,329,6651,491,15054,5159,400,13219,7885,2.2,3.6,-6.2,-1.6,1.3,0,8.5,N
2016-01-09,4분위수,154,570,34501,1132,17979,1029,39784,12241,1282,32522,21814,2.7,3.8,-4.1,-0.6,1.6,0,6.8,N
2016-01-10,1분위수,35,119,9278,273,5322,476,10487,3910,161,8784,6250,4.3,4.1,-1.5,1.1,1.8,0,5.8,N
2016-01-10,2분위수,49,210,14512,561,6941,658,16653,4556,406,13815,8458,4.7,4.1,-1.8,1,1.9,0,6.5,N
2016-01-10,3분위수,35,133,15182,413,7932,623,16717,6012,343,14973,8722,4.4,3.8,-2.6,0.8,1.6,0,7.1,N
2016-01-10,4분위수,224,322,33519,954,16263,1198,37626,11257,1208,30787,20502,4.7,3.6,-1.5,1.3,1.8,0,6.2,N
2016-01-11,1분위수,35,77,8577,336,3917,336,9358,2996,252,7296,5646,1.1,4.1,-5.3,-2.9,1.9,0,6.4,N
2016-01-11,2분위수,84,112,12400,471,5169,651,13426,3823,336,11522,6714,1.1,3.8,-5.7,-3,1.9,0,6.8,N
2016-01-11,3분위수,70,112,10691,365,4769,434,11489,3699,385,10294,5713,1.1,3.3,-6.7,-3.5,1.4,0,7.8,N
2016-01-11,4분위수,154,413,28236,998,12996,1311,29903,10624,966,24542,18262,1,3.4,-5.2,-2.9,1.8,0,6.3,N
2016-01-12,1분위수,70,98,8598,379,4137,287,9035,3757,203,7802,5480,0.6,4.1,-7.6,-4,1.7,0,8.2,N
2016-01-12,2분위수,42,203,13118,379,5649,644,13667,4681,399,12168,7223,0.9,3.5,-8,-4.2,1.6,0,8.9,N
2016-01-12,3분위수,42,70,11348,315,4483,434,11681,3870,273,10383,5875,0.4,3.2,-9.4,-4.8,1.3,0,9.9,N
2016-01-12,4분위수,119,490,29528,1125,12691,1164,31745,10139,905,25211,18742,0.7,3.5,-7.4,-4,1.7,0,8.1,N
2016-01-13,1분위수,28,49,10023,308,4108,434,10234,3603,315,8181,6405,0.1,4.4,-7.2,-3.7,1.6,0,7.3,N
2016-01-13,2분위수,77,147,14231,470,5181,617,14661,4407,505,13026,7164,0.6,4,-7.6,-3.7,1.6,0.1,8.2,Y
2016-01-13,3분위수,21,204,11971,266,5155,469,12211,4727,280,11171,6516,0.2,4.4,-8.8,-4.2,1.4,0,9,N
2016-01-13,4분위수,140,414,32177,1083,13470,952,34582,11117,864,27778,19737,0.5,4,-6.7,-3.3,1.6,0,7.2,N
2016-01-14,1분위수,28,91,9552,217,3888,441,9811,3307,224,7970,5813,1,3.6,-7.2,-2.8,1.2,0,8.2,N
2016-01-14,2분위수,28,147,12659,372,5546,616,13562,4133,448,12049,6710,1.2,3.3,-7.7,-3,1.2,0,9,N
2016-01-14,3분위수,35,154,11483,343,5036,672,12121,3964,301,10704,6354,0.9,3,-9,-3.4,1,0,9.9,N
2016-01-14,4분위수,84,379,31349,1061,13806,994,33744,11064,891,27493,19200,1.3,3.2,-6.7,-2.5,1.3,0,8,N
2016-01-15,1분위수,70,112,10310,385,5329,469,10651,4932,154,9573,6633,4.8,2.9,-3.2,0.1,1.1,0,8,N
2016-01-15,2분위수,77,246,14537,575,6808,603,15720,5325,595,13829,8414,4.6,3,-3.3,0.1,1.3,0,8,N
2016-01-15,3분위수,70,119,12669,484,5782,448,13475,4921,280,12204,6920,4.2,2.2,-4.7,-1,0.8,0,8.9,N
2016-01-15,4분위수,147,653,35140,1195,17437,918,39894,12342,1418,33073,21499,5,2.7,-2.5,0.8,1.2,0,7.5,N
2016-01-16,1분위수,14,105,9292,259,4755,476,10325,3498,140,8010,6429,3.4,2.9,-2.1,0.1,1.5,0,5.5,N
2016-01-16,2분위수,14,196,15024,498,8208,574,17654,5502,231,14770,9191,3.2,3.7,-1.7,0.4,2.1,0,4.9,N
2016-01-16,3분위수,35,196,14025,371,7562,567,15364,5829,478,13639,8599,3.4,2.4,-3.6,-0.6,1.1,0,7,N
2016-01-16,4분위수,28,802,33439,892,19777,869,40604,12509,1026,32916,22092,3.9,3,-1.3,0.7,1.6,0,5.2,N
2016-01-17,1분위수,7,112,9113,266,4772,407,9892,3733,238,8163,6107,5.4,3,-0.8,1.9,1.2,0,6.2,N
2016-01-17,2분위수,56,105,13284,492,6540,574,15199,4347,371,12459,8032,5.6,3.9,-0.5,2.2,1.8,0,6.1,N
2016-01-17,3분위수,35,112,13257,343,6880,441,14902,4962,322,12195,8432,5.7,2.7,-2,1.3,0.9,0,7.7,N
2016-01-17,4분위수,84,371,31250,1230,18109,1086,37648,11179,1145,30217,20841,6,2.9,-0.1,2.6,1.4,0,6.1,N
2016-01-18,1분위수,56,77,8134,259,2798,483,7877,2810,154,6427,4897,1.5,6.8,-11.6,-5.6,3.5,0,13.2,N
2016-01-18,2분위수,84,182,11932,577,5070,602,12861,4123,266,11560,6292,1.5,6.2,-11.5,-5.6,3.3,0,13,N
2016-01-18,3분위수,112,126,10670,315,4310,357,11782,3212,203,9890,5664,1.2,6,-11.6,-5.5,2.9,0,12.8,N
2016-01-18,4분위수,168,456,28231,1202,11658,1241,30438,9300,764,25134,16609,2,5,-10.9,-5.2,2.7,0,13.4,N
2016-01-19,1분위수,63,98,9321,392,2789,490,8527,3422,224,7178,5485,-8.1,6.8,-14.2,-11.8,3.7,0,6.2,N
2016-01-19,2분위수,28,218,13400,456,4432,561,13725,3926,322,11187,7347,-8,6,-14.2,-11.8,3.6,0,6.3,N
2016-01-19,3분위수,175,98,12526,280,4739,539,12994,3970,315,11124,6694,-8,5.8,-14.9,-12,3.1,0,6.9,N
2016-01-19,4분위수,238,379,33426,984,12823,1229,34041,11360,1220,28063,19787,-6.6,5.1,-13.2,-10.4,2.9,0,6.1,N
2016-01-20,1분위수,63,42,10385,301,4071,576,9811,4230,245,8392,6470,-5.2,3.3,-13.4,-9.4,1.4,0,8.1,N
2016-01-20,2분위수,70,98,14665,534,4882,672,14373,4959,252,12880,7376,-5.7,3.2,-13.7,-9.7,1.5,0,8,N
2016-01-20,3분위수,98,98,12332,287,5050,497,12196,4575,597,11011,6854,-5.5,2.8,-15.2,-10.2,1.1,0,9.7,N
2016-01-20,4분위수,175,238,33413,1217,12917,1051,33993,11591,1325,27909,20051,-5.2,2.9,-13.2,-9.3,1.5,0,8,N
2016-01-21,1분위수,42,105,10844,280,3456,371,10336,3711,309,8149,6578,-2.1,3.7,-9.2,-6.2,1.3,0,7.1,N
2016-01-21,2분위수,35,147,14080,597,5774,448,15175,4520,490,12728,7905,-2.2,3.2,-9.5,-6.5,1.4,0,7.3,N
2016-01-21,3분위수,63,112,11989,329,4518,483,12139,3983,406,10671,6340,-2.1,3.1,-10.7,-6.8,1.2,0,8.6,N
2016-01-21,4분위수,126,428,33465,1147,14552,1092,35741,11522,1363,28890,20828,-2,3,-9.1,-6.1,1.5,0,7.1,N
2016-01-22,1분위수,56,119,10676,224,4302,343,10599,4120,315,8503,6874,-3.2,3.9,-9.9,-6.6,1.7,0,6.7,N
2016-01-22,2분위수,28,119,15036,527,5902,476,15350,5310,476,13140,8472,-3,3.7,-10.3,-6.8,1.7,0,7.3,N
2016-01-22,3분위수,35,49,14060,344,4967,560,13920,4610,365,11747,7708,-2.9,2.9,-11.7,-7.1,1.2,0,8.8,N
2016-01-22,4분위수,91,499,35714,1272,15743,1165,37571,13426,1157,30950,22369,-3,3.3,-9.4,-6.5,1.8,0,6.4,N
2016-01-23,1분위수,84,112,11553,224,4691,351,11446,4664,203,8852,7812,-7.3,6,-15,-10.5,3,0,7.7,N
2016-01-23,2분위수,77,133,16509,428,6563,616,17853,4982,259,14624,9086,-7.3,5.6,-15.1,-10.6,3,0,7.8,N
2016-01-23,3분위수,77,105,16218,407,6548,581,16611,5778,385,13883,9472,-7.2,5.3,-15.8,-10.6,2.6,0,8.6,N
2016-01-23,4분위수,436,456,39504,1048,16904,890,43443,12602,1413,35144,23204,-6.7,5.2,-14.6,-10.3,3,0,7.9,N
2016-01-24,1분위수,28,84,9883,259,4028,413,9996,3537,336,7898,6384,-9.9,4.4,-17,-13.4,2.4,0,7.1,N
2016-01-24,2분위수,182,133,14971,406,5116,912,15328,4211,357,12211,8597,-10,4.1,-17.1,-13.5,2.4,0,7.1,N
2016-01-24,3분위수,77,28,15534,378,6001,385,15949,5299,385,13716,8302,-10,3.8,-18.2,-13.9,2,0,8.2,N
2016-01-24,4분위수,217,231,36371,878,15186,806,38560,12244,1273,31706,21177,-9.8,4,-16.7,-13.2,2.4,0,6.9,N
2016-01-25,1분위수,35,35,8847,322,3445,322,8980,3144,238,7159,5525,-3.5,3.8,-13.3,-8.4,1.5,0,9.8,N
2016-01-25,2분위수,56,147,12218,470,5829,665,13056,4530,469,11796,6924,-3.5,3.3,-13.8,-8.5,1.4,0,10.3,N
