미세먼지농도
[검색조건]
지점명 : , 자료구분:일자료 , 기간 : 20160101 ~ 20181231

지점번호,지점명,일자,미세먼지농도(㎍/㎥)
90,속초,2016-01-01,32
94,광덕산,2016-01-01,28
100,대관령,2016-01-01,30
101,춘천,2016-01-01,65
102,백령도,2016-01-01,30
108,서울,2016-01-01,56
115,울릉도독도(감),2016-01-01,
116,관악산,2016-01-01,30
119,수원,2016-01-01,61
121,영월,2016-01-01,51
130,울진,2016-01-01,22
132,안면도(감),2016-01-01,31
135,추풍령,2016-01-01,39
136,안동,2016-01-01,53
140,군산,2016-01-01,49
143,대구,2016-01-01,55
146,전주,2016-01-01,39
152,울산,2016-01-01,32
156,광주,2016-01-01,56
160,부산(레),2016-01-01,32
169,흑산도,2016-01-01,35
185,고산,2016-01-01,42
192,진주,2016-01-01,43
201,강화,2016-01-01,69
229,북격렬비도 *,2016-01-01,24
232,천안,2016-01-01,56
268,진도군,2016-01-01,44
273,문경,2016-01-01,40
501,연평도,2016-01-01,35
90,속초,2016-01-02,29
94,광덕산,2016-01-02,14
100,대관령,2016-01-02,26
101,춘천,2016-01-02,57
102,백령도,2016-01-02,71
108,서울,2016-01-02,42
115,울릉도독도(감),2016-01-02,29
116,관악산,2016-01-02,32
119,수원,2016-01-02,45
121,영월,2016-01-02,39
130,울진,2016-01-02,25
132,안면도(감),2016-01-02,39
135,추풍령,2016-01-02,36
136,안동,2016-01-02,46
140,군산,2016-01-02,43
143,대구,2016-01-02,64
146,전주,2016-01-02,34
152,울산,2016-01-02,36
156,광주,2016-01-02,57
160,부산(레),2016-01-02,34
169,흑산도,2016-01-02,36
185,고산,2016-01-02,33
192,진주,2016-01-02,51
201,강화,2016-01-02,43
229,북격렬비도 *,2016-01-02,42
232,천안,2016-01-02,43
268,진도군,2016-01-02,34
273,문경,2016-01-02,31
501,연평도,2016-01-02,41
90,속초,2016-01-03,68
94,광덕산,2016-01-03,65
100,대관령,2016-01-03,42
101,춘천,2016-01-03,61
102,백령도,2016-01-03,139
108,서울,2016-01-03,86
115,울릉도독도(감),2016-01-03,41
116,관악산,2016-01-03,73
119,수원,2016-01-03,80
121,영월,2016-01-03,48
130,울진,2016-01-03,29
132,안면도(감),2016-01-03,54
135,추풍령,2016-01-03,43
136,안동,2016-01-03,51
140,군산,2016-01-03,65
